John's Carts - Last updated 2/20/99

Notes:

There are 2 basic formats for each cart listing.  For systems that
Basketball                              1 0 0 Atari                                                                                                                                                                                                                                                          
Beany Bopper                            3 0 0 8 Game Options                                                                                                                                                                                                                                                 
Bermuda Triangle                        2 0 0                                                                                                                                                                                                                                                                
Berzerk                                 1 0 0 Atari                                                                                                                                                                                                                                                          
Blackjack                               1 1 0 Atari                                                                                                                                                                                                                                                          
Bowling                                 1 0 0 Atari                                                                                                                                                                                                                                                          
Breakout                                1 0 1                                                                                                                                                                                                                                                                
Bridge                                  3 0 0                                                                                                                                                                                                                                                                
Buck Rogers: Planet of Zoom             3 0 0                                                                                                                                                                                                                                                                
Bump N Jump                             3 0 0 M Network                                                                                                                                                                                                                                                      
Burgertime                              3 0 0                                                                                                                                                                                                                                                                
California Games                        2 0 0                                                                                                                                                                                                                                                                
Canyon Bomber                           1 0 0 Atari                                                                                                                                                                                                                                                          
Centipede                               1 0 0                                                                                                                                                                                                                                                                
Chopper Command                         1 0 0                                                                                                                                                                                                                                                                
Circus Atari                            1 0 0                                                                                                                                                                                                                                                                
Combat                                  1 1 1                                                                                                                                                                                                                                                                
Commando                                3 0 0                                                                                                                                                                                                                                                                
Commando Raid                           3 0 0                                                                                                                                                                                                                                                                
Congo Bongo                             2 0 0                                                                                                                                                                                                                                                                
Cosmic Ark                              2 0 0                                                                                                                                                                                                                                                                
Crackpots                               3 0 0                                                                                                                                                                                                                                                                
Dark Cavern                             2 0 0                                                                                                                                                                                                                                                                
Defender                                1 0 0 Atari                                                                                                                                                                                                                                                          
Demon Attack                            5 0 0 Activision                                                                                                                                                                                                                                                     
Demon Attack                            1 0 0 Imagic                                                                                                                                                                                                                                                         
Demons to Diamonds                      1 0 1 Atari                                                                                                                                                                                                                                                          
Desert Falcon                           2 0 0                                                                                                                                                                                                                                                                
Dig Dug                                 1 0 0                                                                                                                                                                                                                                                                
Dodge 'Em                               1 0 0                                                                                                                                                                                                                                                                
Donkey Kong                             1 0 0 Coleco                                                                                                                                                                                                                                                         
Donkey Kong Jr.                         2 0 1 Coleco                                                                                                                                                                                                                                                         
Dragonfire                              2 0 0                                                                                                                                                                                                                                                                
Dragster                                1 0 0                                                                                                                                                                                                                                                                
E.T.: The Extra-Terrestrial             1 0 1                                                                                                                                                                                                                                                                
Fast Eddie                              3 0 0                                                                                                                                                                                                                                                                
Fast Food                               2 0 0                                                                                                                                                                                                                                                                
Fire Fighter                            2 0 1                                                                                                                                                                                                                                                                
Fishing Derby                           1 0 1                                                                                                                                                                                                                                                                
Football                                3 0 0 INTV (Rarity from Atari 2600 Nexus)                                                                                                                                                                                                                            
Football                                1 0 0 Atari                                                                                                                                                                                                                                                          
Freeway                                 1 0 0                                                                                                                                                                                                                                                                
Frogger                                 1 0 1                                                                                                                                                                                                                                                                
Frogs and Flies                         1 0 0                                                                                                                                                                                                                                                                
Frostbite                               3 0 0                                                                                                                                                                                                                                                                
Galaxian                                1 0 0                                                                                                                                                                                                                                                                
Ghostbusters                            3 0 0                                                                                                                                                                                                                                                                
GI Joe: Cobra Strike                    3 0 0                                                                                                                                                                                                                                                                
Golf                                    3 0 0 Sears                                                                                                                                                                                                                                                          
Gorf                                    2 0 0 Atari                                                                                                                                                                                                                                                          
Hangman                                 2 0 0                                                                                                                                                                                                                                                                
Haunted House                           2 0 0 Atari                                                                                                                                                                                                                                                          
Home Run                                1 0 0                                                                                                                                                                                                                                                                
Human Cannonball                        1 0 0                                                                                                                                                                                                                                                                
Ice Hockey                              1 0 0                                                                                                                                                                                                                                                                
Indy 500                                2 0 1 Have driving controller                                                                                                                                                                                                                                        
Infiltrate                              2 0 0                                                                                                                                                                                                                                                                
Journey Escape                          2 0 0                                                                                                                                                                                                                                                                
Jr. Pac-Man                             1 0 0                                                                                                                                                                                                                                                                
Jungle Hunt                             1 0 0                                                                                                                                                                                                                                                                
Kaboom!                                 1 0 0                                                                                                                                                                                                                                                                
Kangaroo                                1 0 0                                                                                                                                                                                                                                                                
Keystone Kapers                         1 0 0                                                                                                                                                                                                                                                                
Kool-Aid Man                            3 0 0                                                                                                                                                                                                                                                                
Kung Fu Master                          3 0 0                                                                                                                                                                                                                                                                
Laser Blast                             1 0 0                                                                                                                                                                                                                                                                
Lock N Chase                            2 0 1                                                                                                                                                                                                                                                                
Lost Luggage                            3 0 0 Green Label                                                                                                                                                                                                                                                    
M*A*S*H                                 2 0 0                                                                                                                                                                                                                                                                
M.A.D.                                  3 0 0                                                                                                                                                                                                                                                                
Mario Bros.                             2 0 0                                                                                                                                                                                                                                                                
Mega Force                              2 0 0                                                                                                                                                                                                                                                                
Megamania                               1 0 0                                                                                                                                                                                                                                                                
Millipede                               2 0 0                                                                                                                                                                                                                                                                
Missile Command                         1 0 0 Atari                                                                                                                                                                                                                                                          
Moon Patrol                             1 0 0                                                                                                                                                                                                                                                                
Mouse Trap                              2 0 0 Coleco                                                                                                                                                                                                                                                         
Ms. Pac-Man                             1 0 1                                                                                                                                                                                                                                                                
Night Driver                            1 0 0 Atari                                                                                                                                                                                                                                                          
Night Stalker                           4 0 0 PAL, Top label missing                                                                                                                                                                                                                                         
Othello                                 2 0 0 Atari                                                                                                                                                                                                                                                          
Outer Space                             3 0 0                                                                                                                                                                                                                                                                
Outlaw                                  1 0 0                                                                                                                                                                                                                                                                
Pac-Man                                 1 0 1 Atari                                                                                                                                                                                                                                                          
Pele's Soccer                           1 0 0 Atari                                                                                                                                                                                                                                                          
Phoenix                                 1 0 0                                                                                                                                                                                                                                                                
Pigs in Space                           4 0 0                                                                                                                                                                                                                                                                
Pitfall II: The Lost Caverns            2 0 0                                                                                                                                                                                                                                                                
Pitfall!                                1 0 0                                                                                                                                                                                                                                                                
Pole Position                           1 0 0                                                                                                                                                                                                                                                                
Popeye                                  1 0 0                                                                                                                                                                                                                                                                
Q*Bert                                  2 0 0 Atari                                                                                                                                                                                                                                                          
Q*bert                                  1 0 0 Parker Bros.                                                                                                                                                                                                                                                   
Raiders of the Lost Ark                 1 0 0                                                                                                                                                                                                                                                                
Reactor                                 2 0 0                                                                                                                                                                                                                                                                
RealSports Baseball                     1 0 0                                                                                                                                                                                                                                                                
RealSports Boxing                       2 0 1                                                                                                                                                                                                                                                                
RealSports Football                     1 0 0                                                                                                                                                                                                                                                                
RealSports Soccer (Football)            1 0 0                                                                                                                                                                                                                                                                
RealSports Volleyball                   1 0 0                                                                                                                                                                                                                                                                
Riddle of the Sphinx                    2 0 0                                                                                                                                                                                                                                                                
River Raid                              1 0 0                                                                                                                                                                                                                                                                
Skate Boardin'                          3 0 0                                                                                                                                                                                                                                                                
Skeet Shoot                             3 0 0 Early release (rolling screen)                                                                                                                                                                                                                                 
Skiing                                  1 0 0                                                                                                                                                                                                                                                                
Sky Diver                               1 0 0                                                                                                                                                                                                                                                                
Sky Jinks                               2 0 0                                                                                                                                                                                                                                                                
Sky Skipper                             2 0 0                                                                                                                                                                                                                                                                
Smurf: Rescue in Gargamel's Castle      2 0 1                                                                                                                                                                                                                                                                
Sneak 'N Peek                           3 0 0                                                                                                                                                                                                                                                                
Sorcerer                                3 0 0                                                                                                                                                                                                                                                                
Sorcerer's Apprentice                   4 0 0                                                                                                                                                                                                                                                                
Space Invaders                          2 0 0 Sears                                                                                                                                                                                                                                                          
Space Invaders                          1 0 0 Atari                                                                                                                                                                                                                                                          
Space War                               2 0 1                                                                                                                                                                                                                                                                
Spider Fighter                          2 0 0                                                                                                                                                                                                                                                                
Stampede                                1 0 0                                                                                                                                                                                                                                                                
Star Fox                                3 0 0                                                                                                                                                                                                                                                                
Star Raiders                            1 0 0 Atari                                                                                                                                                                                                                                                          
Star Voyager                            1 0 0                                                                                                                                                                                                                                                                
Star Wars: The Empire Strikes Back      1 0 1                                                                                                                                                                                                                                                                
Starmaster                              1 0 0                                                                                                                                                                                                                                                                
Strawberry Shortcake Musical Match-ups  2 0 0                                                                                                                                                                                                                                                                
Street Racer                            2 0 0                                                                                                                                                                                                                                                                
Submarine Commander                     6 0 0                                                                                                                                                                                                                                                                
Super Breakout                          3 0 0 Sears                                                                                                                                                                                                                                                          
Super Breakout                          1 0 0 Atari                                                                                                                                                                                                                                                          
Super Breakout                          1 0 0 Atari                                                                                                                                                                                                                                                          
Super Challenge Baseball                1 0 0 M Network                                                                                                                                                                                                                                                      
Super Challenge Football                1 0 0 M Network                                                                                                                                                                                                                                                      
Surround                                1 1 0                                                                                                                                                                                                                                                                
Swordquest: Fireworld                   2 0 0                                                                                                                                                                                                                                                                
Tank Plus                               2 0 0                                                                                                                                                                                                                                                                
Tapper                                  5 0 0                                                                                                                                                                                                                                                                
Target Fun                              1 0 0                                                                                                                                                                                                                                                                
Tennis                                  1 0 0                                                                                                                                                                                                                                                                
Title Match Pro Wrestling               3 0 0                                                                                                                                                                                                                                                                
Trick Shot                              2 0 0                                                                                                                                                                                                                                                                
Tron Deadly Discs                       2 0 0                                                                                                                                                                                                                                                                
Turmoil                                 2 0 0                                                                                                                                                                                                                                                                
Vanguard                                1 0 0                                                                                                                                                                                                                                                                
Venture                                 2 0 0 Coleco                                                                                                                                                                                                                                                         
Video Chess                             2 0 0                                                                                                                                                                                                                                                                
Video Olympics                          1 1 0                                                                                                                                                                                                                                                                
Video Pinball                           1 0 0                                                                                                                                                                                                                                                                
Video Pinball                           1 0 0                                                                                                                                                                                                                                                                
Warlords                                2 0 0 Sears                                                                                                                                                                                                                                                          
Warlords                                1 0 0 Atari                                                                                                                                                                                                                                                          
Winter Games                            2 0 1                                                                                                                                                                                                                                                                
Wizard of Wor                           2 0 0                                                                                                                                                                                                                                                                
Word Zapper                             2 0 0                                                                                                                                                                                                                                                                
Yars' Revenge                           1 0 0 Atari                                                                                                                                                                                                                                                          
Zaxxon                                  2 0 0                                                                                                                                                                                                                                                                
+++ 
 
Atari 5200 Carts 
Title                                   R B D O Comment
----------------------------------------------------------------------
Centipede                               1 0 0 2                                                                                                                                                                                                                                                                
Countermeasure                          2 0 0 0                                                                                                                                                                                                                                                                
Defender                                1 0 0 0                                                                                                                                                                                                                                                                
Dig Dug                                 1 0 0 0                                                                                                                                                                                                                                                                
Galaxian                                1 0 0 0                                                                                                                                                                                                                                                                
Joust                                   1 0 0 0                                                                                                                                                                                                                                                                
Jungle Hunt                             1 0 0 0                                                                                                                                                                                                                                                                
Kangaroo                                1 0 0 0                                                                                                                                                                                                                                                                
Missile Command                         2 0 0 0                                                                                                                                                                                                                                                                
Pac-Man                                 1 0 0 1                                                                                                                                                                                                                                                                
Pole Position                           1 0 0 0                                                                                                                                                                                                                                                                
Popeye                                  2 0 0 0                                                                                                                                                                                                                                                                
Qix                                     2 0 0 0                                                                                                                                                                                                                                                                
RealSports Soccer                       2 0 0 0 Original "Soccer" title                                                                                                                                                                                                                                        
RealSports Tennis                       3 0 0 0                                                                                                                                                                                                                                                                
River Raid                              2 0 0 0                                                                                                                                                                                                                                                                
Star Raiders                            1 0 0 0                                                                                                                                                                                                                                                                
Super Breakout                          1 0 0 0                                                                                                                                                                                                                                                                
Super Cobra                             3 0 0 0                                                                                                                                                                                                                                                                
Wizard of Wor                           3 0 0 0                                                                                                                                                                                                                                                                
+++ 
 
Atari 7800 Carts 
Title                                   R B D Comment
----------------------------------------------------------------------
Ace of Aces                             2 0 0                                                                                                                                                                                                                                                                
Ballblazer                              2 0 0                                                                                                                                                                                                                                                                
Centipede                               1 0 0                                                                                                                                                                                                                                                                
Commando                                3 0 0                                                                                                                                                                                                                                                                
Dig Dug                                 1 0 0                                                                                                                                                                                                                                                                
Jinks                                   1 0 0                                                                                                                                                                                                                                                                
Joust                                   1 0 0                                                                                                                                                                                                                                                                
One-on-One                              1 0 0                                                                                                                                                                                                                                                                
Pole Position II                        1 0 0                                                                                                                                                                                                                                                                
RealSports Baseball                     1 0 0                                                                                                                                                                                                                                                                
Robotron: 2084                          2 0 0                                                                                                                                                                                                                                                                
Super Huey                              2 0 0                                                                                                                                                                                                                                                                
Xevious                                 1 0 1                                                                                                                                                                                                                                                                
+++ 
 
ColecoVision Carts 
Title                                   R B D Comment
----------------------------------------------------------------------
Burgertime                              3 0 0                                                                                                                                                                                                                                                                
Carnival                                1 0 0                                                                                                                                                                                                                                                                
Donkey Kong                             1 0 1                                                                                                                                                                                                                                                                
Donkey Kong Jr.                         1 0 0                                                                                                                                                                                                                                                                
Frogger                                 1 0 0                                                                                                                                                                                                                                                                
Gorf                                    2 0 0                                                                                                                                                                                                                                                                
Ladybug                                 2 0 0                                                                                                                                                                                                                                                                
Monkey Academy                          4 0 0                                                                                                                                                                                                                                                                
Mouse Trap                              2 0 0                                                                                                                                                                                                                                                                
Mr. Do!                                 2 0 0                                                                                                                                                                                                                                                                
Pepper II                               1 0 0                                                                                                                                                                                                                                                                
Pitfall II: Lost Caverns                4 0 0                                                                                                                                                                                                                                                                
Popeye                                  2 0 0                                                                                                                                                                                                                                                                
Q*Bert                                  1 0 0                                                                                                                                                                                                                                                                
Rocky Super Action Boxing               2 0 0                                                                                                                                                                                                                                                                
Slither                                 2 0 0                                                                                                                                                                                                                                                                
Smurf: Rescue in Gargamel's Castle      1 0 0                                                                                                                                                                                                                                                                
Star Wars: The Arcade Game              4 0 0                                                                                                                                                                                                                                                                
Super Action Baseball                   2 0 0                                                                                                                                                                                                                                                                
Super Action Football                   2 0 0                                                                                                                                                                                                                                                                
Super Cobra                             5 0 0                                                                                                                                                                                                                                                                
Tapper                                  4 0 0                                                                                                                                                                                                                                                                
Turbo                                   2 0 0                                                                                                                                                                                                                                                                
Venture                                 1 0 0                                                                                                                                                                                                                                                                
Victory                                 2 0 0                                                                                                                                                                                                                                                                
War Games                               3 0 0                                                                                                                                                                                                                                                                
War Room                                3 0 0                                                                                                                                                                                                                                                                
Zaxxon                                  1 0 0                                                                                                                                                                                                                                                                
+++ 
 
Intellivision Carts 
Title                                   R B D O Comment
----------------------------------------------------------------------
Advanced Dungeons and Dragons           1 0 0 0                                                                                                                                                                                                                                                                
Astrosmash                              1 0 0 0                                                                                                                                                                                                                                                                
Atlantis                                2 0 0 0                                                                                                                                                                                                                                                                
Auto Racing                             1 1 0 0 Mattel, Phillips screw                                                                                                                                                                                                                                         
B-17 Bomber                             2 1 1 1                                                                                                                                                                                                                                                                
Backgammon                              3 1 1 2                                                                                                                                                                                                                                                                
Beauty and the Beast                    2 1 0 2                                                                                                                                                                                                                                                                
Boxing                                  1 1 0 0 Mattel                                                                                                                                                                                                                                                         
Burgertime                              2 0 0 0                                                                                                                                                                                                                                                                
Carnival                                3 0 0 0                                                                                                                                                                                                                                                                
Chip Shot                               5 1 1 0                                                                                                                                                                                                                                                                
Demon Attack                            1 0 0 0                                                                                                                                                                                                                                                                
Donkey Kong                             2 0 0 0                                                                                                                                                                                                                                                                
Dragonfire                              2 0 1 0                                                                                                                                                                                                                                                                
Horse Racing                            2 1 1 2 Mattel                                                                                                                                                                                                                                                         
Las Vegas Poker & Blackjack             1 1 0 2 Mattel                                                                                                                                                                                                                                                         
Lock 'n Chase                           1 0 0 0                                                                                                                                                                                                                                                                
Major League Baseball                   1 0 0 0                                                                                                                                                                                                                                                                
Microsurgeon                            2 0 0 0                                                                                                                                                                                                                                                                
Mission X                               2 0 0 1                                                                                                                                                                                                                                                                
Night Stalker                           3 1 1 2 Sears                                                                                                                                                                                                                                                          
Pac-Man                                 4 0 0 0 INTV                                                                                                                                                                                                                                                           
PBA Bowling                             1 1 0 0                                                                                                                                                                                                                                                                
Pitfall!                                1 1 0 2                                                                                                                                                                                                                                                                
River Raid                              3 0 0 0                                                                                                                                                                                                                                                                
Snafu                                   1 1 1 2                                                                                                                                                                                                                                                                
Space Armada                            1 1 1 0 Mattel                                                                                                                                                                                                                                                         
Space Battle                            1 1 1 2 Space Network                                                                                                                                                                                                                                                  
Space Hawk                              2 1 0 2 Sears                                                                                                                                                                                                                                                          
Space Hawk                              1 0 0 0 Mattel                                                                                                                                                                                                                                                         
Stampede                                2 0 0 0                                                                                                                                                                                                                                                                
Star Strike                             1 0 0 0 Mattel                                                                                                                                                                                                                                                         
Tennis                                  1 0 0 0 Mattel                                                                                                                                                                                                                                                         
Triple Action                           1 1 1 1 Mattel                                                                                                                                                                                                                                                         
Tron Deadly Discs                       1 0 0 0                                                                                                                                                                                                                                                                
Tron Maze-A-Tron                        1 0 0 0                                                                                                                                                                                                                                                                
Vectron                                 1 1 0 0                                                                                                                                                                                                                                                                
Venture                                 3 0 0 0                                                                                                                                                                                                                                                                
Word Fun                                2 0 0 0                                                                                                                                                                                                                                                                
+++ 
 
Nintendo NES Carts 
  -I trade NES carts with a friend of mine quite frequently, 
   so this list can change pretty fast 
Title                                   R B D Comment
----------------------------------------------------------------------
A Boy and His Blob                      1 0 0                                                                                                                                                                                                                                                                
Castlevania                             1 0 0                                                                                                                                                                                                                                                                
Defender II                             4 0 0                                                                                                                                                                                                                                                                
Dig Dug II                              5 0 0                                                                                                                                                                                                                                                                
Elevator Action                         2 0 0                                                                                                                                                                                                                                                                
Exodus                                  4 0 1 Wisdom Tree                                                                                                                                                                                                                                                    
Game Genie                              1 0 0 No docs                                                                                                                                                                                                                                                        
Ghostbusters                            2 0 0                                                                                                                                                                                                                                                                
Goal!                                   1 0 0                                                                                                                                                                                                                                                                
Karate Champ                            2 0 0                                                                                                                                                                                                                                                                
Kirby's Adventure                       3 0 0                                                                                                                                                                                                                                                                
Metroid                                 1 0 0                                                                                                                                                                                                                                                                
Mike Tyson's Punch-Out                  1 0 0                                                                                                                                                                                                                                                                
One-on-One: Jordan vs. Bird             2 0 0                                                                                                                                                                                                                                                                
Pinball                                 1 0 0                                                                                                                                                                                                                                                                
Super Mario 2                           1 0 0                                                                                                                                                                                                                                                                
Super Mario 3                           1 0 1                                                                                                                                                                                                                                                                
Super Mario 3                           1 0 0                                                                                                                                                                                                                                                                
Super Mario Bros/Duck Hunt              1 0 0                                                                                                                                                                                                                                                                
Super Mario Bros/Duck Hunt              1 0 0                                                                                                                                                                                                                                                                
Super Mario Bros/Duck Hunt              1 0 0                                                                                                                                                                                                                                                                
Tetris                                  1 0 0 Nintendo, not Tengen!                                                                                                                                                                                                                                          
Ultimate Stuntman                       3 0 0                                                                                                                                                                                                                                                                
World Class Track Meet                  1 0 0                                                                                                                                                                                                                                                                
+++ 
 
Odyssey2 Carts 
Title                                   R B D Comment
----------------------------------------------------------------------
Alien Invaders - Plus!                  1 0 0                                                                                                                                                                                                                                                                
Attack of the Timelord!                 4 1 1 Voice Enhanced                                                                                                                                                                                                                                                 
Baseball!                               2 0 0                                                                                                                                                                                                                                                                
Computer Golf!                          2 1 1                                                                                                                                                                                                                                                                
Conquest of the World!                  6 0 0 Bare cart (rarity is based on complete set)                                                                                                                                                                                                                    
Cosmic Conflict!                        1 0 0                                                                                                                                                                                                                                                                
Dynasty!                                1 1 0                                                                                                                                                                                                                                                                
Football!                               1 0 0                                                                                                                                                                                                                                                                
Freedom Fighters!                       2 0 0                                                                                                                                                                                                                                                                
Hockey!/Soccer!                         1 0 0                                                                                                                                                                                                                                                                
Invaders from Hyperspace!               1 1 1                                                                                                                                                                                                                                                                
K.C. Munchkin!                          1 1 1                                                                                                                                                                                                                                                                
K.C.'s Crazy Chase!                     3 1 1 Voice Enhanced                                                                                                                                                                                                                                                 
Pick Axe Pete!                          2 1 1                                                                                                                                                                                                                                                                
Smithereens!                            3 0 0                                                                                                                                                                                                                                                                
Speedway!/Spin-Out!/Crypto-Logic!       1 0 0                                                                                                                                                                                                                                                                
Sub Chase!/Armored Encounter!           1 0 0                                                                                                                                                                                                                                                                
Take the Money and Run!                 2 1 0                                                                                                                                                                                                                                                                
UFO!                                    2 1 0                                                                                                                                                                                                                                                                
+++ 
 
Sega Master System Carts 
Title                                   R B D Comment
----------------------------------------------------------------------
Aztec Adventure                         1 1 0                                                                                                                                                                                                                                                                
Great Soccer                            1 1 1                                                                                                                                                                                                                                                                
Hang On/Safari Hunt                     1 1 0                                                                                                                                                                                                                                                                
Kung Fu Kid                             1 1 0                                                                                                                                                                                                                                                                
Maze Hunter 3D                          2 1 1                                                                                                                                                                                                                                                                
Missile Defense 3D                      1 1 1                                                                                                                                                                                                                                                                
Rambo: First Blood II                   1 1 0                                                                                                                                                                                                                                                                
Rescue Mission                          1 1 0                                                                                                                                                                                                                                                                
Space Harrier                           1 1 1                                                                                                                                                                                                                                                                
+++ 
 
TI 99/4A Carts - No rarity listing in Digital Press 
Title                                   R B D Comment
----------------------------------------------------------------------
A-MAZE-ING                              0 0 0                                                                                                                                                                                                                                                                
Alpiner                                 0 0 0                                                                                                                                                                                                                                                                
Attack, The                             0 0 0                                                                                                                                                                                                                                                                
Blasto                                  0 0 0                                                                                                                                                                                                                                                                
Car Wars                                0 0 0                                                                                                                                                                                                                                                                
Chisholm Trail                          0 0 0                                                                                                                                                                                                                                                                
Disk Manager 2                          0 0 0                                                                                                                                                                                                                                                                
Hangman                                 0 0 0                                                                                                                                                                                                                                                                
Hopper                                  0 0 0                                                                                                                                                                                                                                                                
Hunt the Wumpus                         0 0 0                                                                                                                                                                                                                                                                
Moon Mine                               0 0 0                                                                                                                                                                                                                                                                
Munch Man                               0 0 0                                                                                                                                                                                                                                                                
Parsec                                  0 0 0                                                                                                                                                                                                                                                                
Parsec                                  0 0 0                                                                                                                                                                                                                                                                
Terminal Emulator II                    0 0 0                                                                                                                                                                                                                                                                
TI Extended BASIC                       0 0 0                                                                                                                                                                                                                                                                
TI Invaders                             0 0 0                                                                                                                                                                                                                                                                
TI-WRITER/Word Processor                0 0 0                                                                                                                                                                                                                                                                
Tombstone City                          0 0 0                                                                                                                                                                                                                                                                
Video Chess                             0 0 0                                                                                                                                                                                                                                                                
Video Graphs                            0 0 0                                                                                                                                                                                                                                                                
+++ 

Vectrex Carts 
Title                                   R B D O Comment
----------------------------------------------------------------------
Art Master                              6 0 1 1 Sure wish I had a lightpen...
Bedlam                                  4 0 1 1
Berzerk                                 3 0 1 1
Fortress of Narzod                      6 0 1 1
Heads Up Action Soccer                  6 0 1 1
Melody Master                           8 0 1 1
Polar Rescue                            8 0 1 1
Pole Position                           8 0 1 1
Rip Off                                 3 0 1 1
Solar Quest                             3 0 1 1
Space Wars                              4 0 1 1
Spike                                   4 0 1 1
Spinball                                5 0 1 1
Star Castle                             7 0 1 1
Star Hawk                               4 0 1 1
Star Trek                               2 0 1 1
